_id,full_name,email,ssn,ip_address,gender,date_of_birth,age,zip_code,annual_income,income_imputed,credit_history_months,credit_history_months_flag,debt_to_income,dti_flag,savings_balance,total_spend,alcohol_spend,gambling_spend,had_adult_entertainment_raw,loan_approved,interest_rate,approved_amount,rejection_reason,processing_timestamp,email_missing,ssn_missing,dob_missing,timestamp_missing,ssn_conflict,cross_field_flag,decision_inconsistent_flag,neg_savings_flag,dti_reason_flag,timestamp_implausible,timestamp_too_early,timestamp_too_late,timestamp_stale
app_200,Jerry Smith,jerry.smith17@hotmail.com,596-64-4340,192.168.48.155,Male,2001-03-09,24.0,10036,73000.0,False,23,False,0.2,False,31212,1517,247,0,False,False,,,algorithm_risk_score,2024-01-15T00:00:00Z,False,False,False,False,False,False,False,False,False,False,False,False,True
app_037,Brandon Walker,brandon.walker2@yahoo.com,425-69-4784,10.1.102.112,Male,1992-03-31,33.0,10032,78000.0,False,51,False,0.18,False,17915,947,0,0,False,False,,,algorithm_risk_score,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_215,Scott Moore,scott.moore94@mail.com,370-78-5178,10.240.193.250,Male,1989-10-24,36.0,10075,61000.0,False,41,False,0.21,False,37909,109,0,0,False,True,3.7,59000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_024,Thomas Lee,thomas.lee6@protonmail.com,194-35-1833,192.168.175.67,Male,1983-04-25,42.0,10077,103000.0,False,70,False,0.35,False,0,575,0,0,False,True,4.3,34000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_184,Brian Rodriguez,brian.rodriguez86@aol.com,480-41-2475,172.29.125.105,Male,1999-05-21,26.0,10080,57000.0,False,14,False,0.23,False,31763,463,0,0,False,False,,,algorithm_risk_score,2024-01-15T00:00:00Z,False,False,False,False,False,False,False,False,False,False,False,False,True
app_275,Maria Miller,maria.miller67@outlook.com,417-25-4912,172.25.58.70,Female,1982-02-14,44.0,10019,110000.0,False,33,False,0.05,False,49933,571,0,0,False,False,,,algorithm_risk_score,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_099,Nicholas King,nicholas.king46@outlook.com,613-23-2503,10.62.62.45,Male,1990-01-28,36.0,10022,55000.0,False,61,False,0.17,False,30159,458,0,0,False,True,5.6,27000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_246,Susan Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,Female,1991-10-11,34.0,90223,82000.0,False,31,False,0.29,False,21809,478,0,0,False,True,2.8,38000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_042,Joseph Lopez,joseph.lopez1@gmail.com,652-70-5530,192.168.91.142,Male,1990-05-04,35.0,10044,69000.0,False,43,False,0.41,False,15974,621,0,0,False,False,,,algorithm_risk_score,,False,False,False,True,True,False,False,False,False,False,False,False,False
app_348,Michael Mitchell,michael.mitchell42@hotmail.com,100-94-8400,172.28.12.121,Male,1989-10-10,36.0,10080,55000.0,False,5,False,0.41,False,13794,1050,0,0,False,False,,,insufficient_credit_history,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_309,Patricia Carter,patricia.carter75@gmail.com,392-82-4407,192.168.231.120,Female,1970-10-01,55.0,90250,63000.0,False,99,False,0.37,False,21769,1314,0,0,False,True,5.1,72000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_320,Jason Brown,jason.brown65@icloud.com,222-48-1592,192.168.52.13,Male,1978-12-01,47.0,90286,168000.0,False,58,False,0.35,False,13088,1109,0,0,False,True,5.9,71000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
app_007,Emma Clark,emma.clark14@protonmail.com,191-40-8079,192.168.11.34,Female,1989-06-13,36.0,90284,92000.0,False,77,False,0.08,False,21353,706,0,0,False,True,5.2,27000.0,,,False,False,False,True,False,False,False,False,False,False,False,False,False
